date,strategy,qqq_bh,tqqq_bh,spy_bh,gld_bh,blend_6040,spxl_strategy,spxl_bh
2010-02-11,48602.62147006815,50000.0,50000.0,50000.0,50000.0,50000.0,48610.118970394615,50000.0
2010-02-12,48828.41870286123,50103.05911990595,50204.58275519225,49958.382200212625,49957.99666750773,49978.86046544215,48834.878657645124,50010.553392132955
2010-02-16,51404.45252027239,51244.198881835255,52649.32939258745,51244.4830652332,51662.14205031384,51000.546000475166,52109.299523722126,52893.48746343821
2010-02-17,52327.93645916193,51533.28085277372,53542.79341148521,51487.317665211194,51487.765714116176,51084.08166427266,53044.292876932705,53681.21499818086
2010-02-18,53365.07753149742,51857.03231129592,54557.86425348008,51790.85017430319,51831.80454077352,51258.44590605395,54443.40150035641,54649.862207702485
2010-02-19,53377.66220455168,51833.90575362084,54557.86425348008,51898.26375298775,51591.44874668718,51338.42113652761,54972.56274135882,55075.66413879915
2010-02-22,53528.85241231279,52229.836244082995,54674.851789832035,52407.61070588158,51902.934468886335,51809.07504115915,55547.49358625809,55479.86344827724
2010-02-23,51371.604780011636,51552.73500469044,52540.23334397144,51771.096026681065,51341.40995541638,51499.74590158765,52914.713589244886,53471.2097579327
2010-02-24,53003.62440407225,52078.065796959774,54129.069566653416,52247.2783141178,51089.200438707805,51807.03856502533,54468.37045659943,54792.39853366606
2010-02-25,52984.281788528126,52066.41129768664,54098.21002456939,52176.57320418048,51541.27368972292,51805.80432925149,54743.10167333827,54717.214674499504
2010-02-26,53676.81221465679,52253.155515436025,54773.07279735783,52209.554463028544,52074.24727845924,51829.51514783855,54841.30041477468,54781.668426976954
2010-03-01,56545.4104527132,53511.982069035206,57622.5153093044,53251.74264552946,52574.24727845923,52684.93383417143,57546.94474466263,57032.53844127289
2010-03-02,56895.01469521527,53676.96915113124,57968.960814477265,53399.30993893588,53338.14073004458,52781.4116215146,58230.94395964932,57606.8785622139
2010-03-03,57220.15507642481,53735.88977590542,58290.94809989049,53446.89345787801,53631.20773944965,52809.96173287988,58537.34689159878,57758.57620241572
2010-03-04,57852.359438888576,53912.68275932237,58934.40862345425,53608.69201845271,53246.86014701916,52944.781559595926,59155.94833792287,58235.40343646339
2010-03-05,60317.62200278014,54725.78115938723,61539.428801685564,54374.94723130699,53237.24934957738,53364.81868856469,61725.10355785587,60695.28305682798
2010-03-08,61172.9299680364,55331.82169246375,62367.584654251084,54884.473665876394,53290.44257011106,53884.41718055484,62593.566406764934,61271.1283645964
2010-03-09,62194.69055849735,55640.99863730865,63471.60206365038,54975.72828165268,53212.8464688555,53963.26036007375,63003.5215477483,61609.832899377914
2010-03-10,63602.39681917844,56092.892354720636,65024.78016503517,55220.67462346682,52606.61189588762,54096.182528329475,64016.2473897501,62472.944097665015
2010-03-11,64024.63509789315,56306.94396899244,65623.63355039526,55451.21957770646,52669.65895941789,54234.50950087326,64704.88860805207,63172.16714726123
2010-03-12,64187.81194060565,56318.84706161957,65773.3487742776,55456.03640730434,52354.416241442144,54239.418293662224,65004.33913006035,63336.06946087421
2010-03-15,64327.328729086265,56676.13552118111,65830.43654310325,55970.432884756905,53053.262957453466,54774.121453479434,65451.00636656421,63715.908426704395
2010-03-16,65522.99867348754,57036.06351629991,67075.1783519789,56416.317250275526,54052.05129628057,55080.131794555826,67345.52963826821,65422.76160505253
2010-03-17,65979.11816749719,57192.0120791773,67540.30867504723,56750.693366558306,53655.47121144124,55296.96501595125,69109.65255112013,66645.11906991934
2010-03-18,66636.74457402912,57383.99303179849,68225.33213378086,56721.64087739853,54022.6726418027,55261.28558438197,68698.7637999815,66259.70544603623
2010-03-19,65534.45833700812,57036.897550519,67018.4664010316,56434.50478228534,53014.093908393705,55072.82095865754,67519.04229605322,65158.495109596755
2010-03-22,67783.64939976406,58053.3072569717,69328.76878397926,57236.2216201675,53254.60549526352,55770.03403004335,69497.61516979926,66902.83195154375
