start,invested,strategy_final,qqq_bh_final,tqqq_bh_final
2010-02-11,154500,1041830.0,264260.0,616209.0
2010-03-11,154500,871099.0,259012.0,575207.0
2010-04-12,154500,654521.0,236899.0,436310.0
2010-05-11,154000,674741.0,244491.0,490782.0
2010-06-11,154500,1012932.0,264894.0,639520.0
2010-07-12,154500,1445819.0,271410.0,699706.0
2010-08-11,154500,1225310.0,267393.0,674838.0
2010-09-13,154500,1037787.0,271489.0,705705.0
2010-10-11,154500,830916.0,250631.0,546273.0
2010-11-11,154500,803162.0,261592.0,614596.0
2010-12-13,154500,701734.0,258788.0,599303.0
2011-01-11,154000,705960.0,253236.0,562654.0
2011-02-11,154500,766950.0,253431.0,560730.0
2011-03-11,154500,893073.0,255603.0,582542.0
2011-04-11,154500,996887.0,260008.0,615430.0
2011-05-11,154500,853385.0,255426.0,584525.0
2011-06-13,154500,833512.0,261876.0,642387.0
2011-07-11,154500,803502.0,251572.0,566936.0
2011-08-11,154500,1107656.0,263879.0,687086.0
2011-09-12,154500,787621.0,249293.0,569556.0
2011-10-11,154000,764170.0,244337.0,535694.0
2011-11-11,154500,834756.0,255145.0,609989.0
2011-12-12,154500,847171.0,250255.0,584085.0
2012-01-11,154500,541882.0,230540.0,452248.0
2012-02-13,154500,357402.0,208252.0,318628.0
2012-03-12,154500,536985.0,222081.0,382167.0
2012-04-11,154500,478158.0,223412.0,389662.0
2012-05-11,154500,381772.0,220332.0,379054.0
2012-06-11,154500,512229.0,227438.0,423844.0
2012-07-11,154500,615976.0,228148.0,424310.0
2012-08-13,154500,674087.0,233417.0,449431.0
2012-09-11,154000,513044.0,223283.0,395120.0
2012-10-11,154500,597882.0,231183.0,440996.0
2012-11-12,154500,478169.0,230813.0,448636.0
2012-12-11,154000,563829.0,231536.0,450703.0
2013-01-11,154500,624322.0,235084.0,467402.0
2013-02-11,154500,701110.0,240557.0,501913.0
2013-03-11,154500,887781.0,244661.0,527220.0
2013-04-11,154500,882621.0,241053.0,505594.0
2013-05-13,154500,1329133.0,247587.0,541567.0
2013-06-11,154000,982479.0,247677.0,549578.0
2013-07-11,154500,714229.0,241769.0,501021.0
2013-08-12,154500,617161.0,242907.0,506016.0
2013-09-11,154500,722000.0,245116.0,517555.0
2013-10-11,154500,823802.0,245628.0,521997.0
2013-11-11,154500,705636.0,249181.0,539932.0
2013-12-11,154500,714229.0,247237.0,524396.0
2014-01-13,154500,849153.0,258199.0,597207.0
2014-02-11,154000,500848.0,239216.0,470012.0
2014-03-11,154000,716502.0,261423.0,609337.0
2014-04-11,154500,513611.0,247522.0,517441.0
2014-05-12,154500,671741.0,254799.0,555481.0
2014-06-11,154500,613723.0,255324.0,553987.0
2014-07-11,154500,951073.0,253441.0,538724.0
2014-08-11,154500,661479.0,257240.0,562719.0
2014-09-11,154500,572746.0,254099.0,540356.0
2014-10-13,154500,583555.0,247193.0,502813.0
2014-11-11,154000,451884.0,231941.0,402044.0
2014-12-11,154500,303185.0,219236.0,330351.0
2015-01-12,154500,262706.0,216281.0,308917.0
2015-02-11,154500,316841.0,222290.0,333370.0
2015-03-11,154500,387733.0,229026.0,364987.0
2015-04-13,154500,468692.0,240224.0,419815.0
2015-05-11,154500,630262.0,236921.0,403615.0
2015-06-11,154500,553790.0,231983.0,375449.0
2015-07-13,154500,658943.0,243567.0,435603.0
2015-08-11,154000,399698.0,231836.0,376217.0
2015-09-11,154500,535227.0,241901.0,430727.0
2015-10-12,154500,426203.0,237622.0,406907.0
2015-11-11,154500,564902.0,242252.0,429728.0
2015-12-11,154500,997397.0,247357.0,462294.0
2016-01-11,154500,846989.0,268160.0,602040.0
2016-02-11,154500,1103171.0,290805.0,802718.0
2016-03-11,154500,459956.0,232771.0,375361.0
2016-04-11,154500,218476.0,236171.0,317901.0
2016-05-11,154500,261085.0,266247.0,453135.0
2016-06-13,154500,435965.0,272561.0,482136.0
2016-07-11,154500,968469.0,298894.0,633231.0
2016-08-11,154500,787116.0,290206.0,570234.0
2016-09-12,154500,934053.0,293933.0,585883.0
2016-10-11,154000,1084346.0,304718.0,652005.0
2016-11-11,154500,818649.0,308388.0,670381.0
2016-12-12,154500,624491.0,314380.0,709968.0
2017-01-11,154500,637622.0,319052.0,740532.0
2017-02-13,154500,1098147.0,332187.0,827210.0
2017-03-13,154500,587976.0,305036.0,629270.0
2017-04-11,154000,761757.0,321770.0,746349.0
2017-05-11,154500,565234.0,301654.0,608994.0
2017-06-12,154500,723594.0,312624.0,681798.0
2017-07-11,154000,816857.0,326301.0,791270.0
2017-08-11,154500,1091270.0,325362.0,788409.0
