start,invested,spxl_strategy_final,spxl_bh_final,spy_bh_final,tqqq_strategy_final
2010-02-11,154500,643164.0,444150.0,238746.0,1041873.0
2010-03-11,154500,594841.0,438620.0,238054.0,871095.0
2010-04-12,154500,548492.0,378998.0,226974.0,654513.0
2010-05-11,154000,655719.0,433521.0,235663.0,674662.0
2010-06-11,154500,923302.0,515866.0,248157.0,1012914.0
2010-07-12,154500,1236568.0,540394.0,250573.0,1445782.0
2010-08-11,154500,1024688.0,499654.0,243569.0,1225252.0
2010-09-13,154500,803492.0,509372.0,245239.0,1037672.0
2010-10-11,154500,631470.0,419542.0,230462.0,830895.0
2010-11-11,154500,682852.0,476587.0,241013.0,803088.0
2010-12-13,154500,582764.0,433823.0,233361.0,701675.0
2011-01-11,154000,639533.0,437579.0,233692.0,705981.0
2011-02-11,154500,629196.0,425740.0,232080.0,766931.0
2011-03-11,154500,589257.0,414680.0,229394.0,893031.0
2011-04-11,154500,686266.0,439276.0,233746.0,996787.0
2011-05-11,154500,622284.0,427893.0,231330.0,853380.0
2011-06-13,154500,654415.0,446887.0,233690.0,833599.0
2011-07-11,154500,614666.0,410380.0,227213.0,803481.0
2011-08-11,154500,889817.0,495340.0,237250.0,1107626.0
2011-09-12,154500,617346.0,407534.0,222558.0,787574.0
2011-10-11,154000,732140.0,418209.0,223452.0,764198.0
2011-11-11,154500,653841.0,417318.0,224283.0,834731.0
2011-12-12,154500,568143.0,388813.0,218032.0,847173.0
2012-01-11,154500,375028.0,308547.0,203174.0,541889.0
2012-02-13,154500,330471.0,256691.0,192714.0,357400.0
2012-03-12,154500,533579.0,316360.0,206917.0,536960.0
2012-04-11,154500,455115.0,323317.0,207806.0,478137.0
2012-05-11,154500,416488.0,335439.0,209900.0,381825.0
2012-06-11,154500,540571.0,366670.0,214776.0,512295.0
2012-07-11,154500,566952.0,365856.0,215289.0,615946.0
2012-08-13,154500,533521.0,359609.0,214796.0,673992.0
2012-09-11,154000,376496.0,316589.0,205774.0,513022.0
2012-10-11,154500,404249.0,316864.0,206133.0,597790.0
2012-11-12,154500,368610.0,343746.0,210774.0,478232.0
2012-12-11,154000,540250.0,364359.0,215082.0,563834.0
2013-01-11,154500,507309.0,350297.0,213265.0,624258.0
2013-02-11,154500,551191.0,348638.0,213430.0,700912.0
2013-03-11,154500,626172.0,356829.0,215425.0,887787.0
2013-04-11,154500,570100.0,331508.0,210381.0,882797.0
2013-05-13,154500,805905.0,330854.0,210458.0,1329068.0
2013-06-11,154000,673046.0,344401.0,212600.0,982759.0
2013-07-11,154500,513748.0,325432.0,209294.0,714146.0
2013-08-12,154500,531096.0,323934.0,209034.0,616890.0
2013-09-11,154500,494968.0,336775.0,211731.0,721962.0
2013-10-11,154500,586555.0,356767.0,215686.0,823816.0
2013-11-11,154500,503186.0,345737.0,213817.0,705521.0
2013-12-11,154500,615741.0,369794.0,218523.0,713980.0
2014-01-13,154500,709537.0,408506.0,226129.0,849598.0
2014-02-11,154000,420606.0,329825.0,210589.0,500725.0
2014-03-11,154000,531826.0,377318.0,221045.0,716481.0
2014-04-11,154500,403615.0,325879.0,211372.0,513748.0
2014-05-12,154500,475986.0,334309.0,213981.0,671898.0
2014-06-11,154500,470723.0,339215.0,214976.0,613715.0
2014-07-11,154500,608355.0,327609.0,212547.0,951130.0
2014-08-11,154500,455747.0,351402.0,217411.0,661419.0
2014-09-11,154500,501610.0,353786.0,217888.0,572500.0
2014-10-13,154500,485459.0,331006.0,212619.0,583385.0
2014-11-11,154000,355668.0,295627.0,205629.0,451887.0
2014-12-11,154500,247440.0,248334.0,195200.0,303255.0
2015-01-12,154500,230633.0,231825.0,191995.0,262883.0
2015-02-11,154500,284448.0,254482.0,198076.0,316812.0
2015-03-11,154500,338236.0,277610.0,203796.0,387590.0
2015-04-13,154500,414196.0,304053.0,210309.0,468301.0
2015-05-11,154500,523532.0,290719.0,207285.0,630397.0
2015-06-11,154500,505551.0,286207.0,206358.0,553870.0
2015-07-13,154500,586329.0,324121.0,215021.0,659364.0
2015-08-11,154000,358439.0,290746.0,207170.0,399611.0
2015-09-11,154500,452969.0,338518.0,217325.0,535433.0
