date,tqqq_close,cash,open_spread_value,total_equity,invested_to_date
2026-04-20,58.08,50000.0,0.0,50000.0,50000.0
2026-04-22,60.21,50000.0,0.0,50000.0,50000.0
2026-04-23,59.22,50000.0,0.0,50000.0,50000.0
2026-04-24,62.56,50000.0,0.0,50000.0,50000.0
2026-04-27,62.64,50000.0,0.0,50000.0,50000.0
2026-04-28,60.74,50000.0,0.0,50000.0,50000.0
2026-04-29,61.86,50000.0,0.0,50000.0,50000.0
2026-04-30,63.54,50000.0,0.0,50000.0,50000.0
2026-05-01,65.3,50000.0,0.0,50000.0,50000.0
2026-05-04,64.91,50000.0,0.0,50000.0,50000.0
2026-05-05,67.39,50000.0,0.0,50000.0,50000.0
2026-05-06,71.57,50000.0,0.0,50000.0,50000.0
2026-05-07,71.34,50000.0,0.0,50000.0,50000.0
2026-05-08,76.28,50000.0,0.0,50000.0,50000.0
2026-05-11,76.96,50000.0,0.0,50000.0,50000.0
2026-05-12,74.96,50000.0,0.0,50000.0,50000.0
2026-05-13,77.24,50000.0,0.0,50000.0,50000.0
2026-05-14,78.95,50000.0,0.0,50000.0,50000.0
2026-05-15,75.34,50000.0,0.0,50000.0,50000.0
2026-05-18,74.32,50000.0,0.0,50000.0,50000.0
2026-05-21,76.95,47942.86,2424.84,50367.7,50142.86
2026-05-22,77.84,48228.57,2470.15,50698.72,50428.57
2026-05-26,81.95,48300.0,2616.05,50916.05,50500.0
2026-05-27,81.67,48371.43,2605.81,50977.24,50571.43
2026-05-28,83.68,48442.86,2689.27,51132.13,50642.86
2026-05-29,84.56,48514.29,2730.21,51244.5,50714.29
2026-06-01,86.04,48728.57,2788.1,51516.67,50928.57
2026-06-02,87.22,48800.0,2854.92,51654.92,51000.0
2026-06-03,86.56,48871.43,2835.52,51706.95,51071.43
2026-06-04,85.22,48942.86,2782.86,51725.72,51142.86
2026-06-05,73.05,49014.29,2207.76,51222.05,51214.29
2026-06-08,76.27,49228.57,2331.8,51560.37,51428.57
2026-06-09,73.72,49300.0,2238.27,51538.27,51500.0
